frame_index,bag_timestamp_ns,map_stamp_ns,component_index,stable_key_x,stable_key_y,exact_columns,area,horizontal_span,representative_x,representative_y,representative_z,unknown_direction_x,unknown_direction_y,unknown_direction_z,information_gain,direction_consistency,direction_votes_pos_x,direction_votes_pos_y,direction_votes_neg_x,direction_votes_neg_y,xy_min_x,xy_min_y,xy_max_x,xy_max_y,rejection,columns_complete,edges_complete
3,1784164312999738429,1784164310186407576,34,16519,16360,1,0.040000003,0.141421556,27.102941513,-4.699999809,-0.455882311,1.000000000,0.000000000,0.000000000,8.000000000,1.000000000,8,0,0,0,27.049999237,-4.750000000,27.149999619,-4.650000095,Columns,1,1
3,1784164312999738429,1784164310186407576,35,16519,16418,2,0.080000006,0.316228807,27.202915192,6.897933960,-0.167355180,0.000000000,1.000000000,0.000000000,45.000000000,0.644444466,0,29,16,0,27.049999237,6.849999905,27.350000381,6.949999809,Columns,1,1
3,1784164312999738429,1784164310186407576,36,16520,16397,1,0.040000003,0.141421556,27.299991608,2.701562405,-0.126562491,1.000000000,0.000000000,0.000000000,8.000000000,1.000000000,8,0,0,0,27.250000000,2.650000095,27.350000381,2.750000000,Columns,1,1
3,1784164312999738429,1784164310186407576,37,16520,16410,9,0.360000014,1.303840756,27.861953735,5.060540676,-0.613624692,-1.000000000,0.000000000,0.000000000,151.000000000,0.801324487,30,0,121,0,27.250000000,4.650000095,28.350000381,5.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,38,16521,16412,2,0.080000006,0.316227019,27.592245102,5.701035500,-0.359793544,-1.000000000,0.000000000,0.000000000,33.000000000,1.000000000,0,0,33,0,27.450000763,5.650000095,27.750000000,5.750000000,Columns,1,1
3,1784164312999738429,1784164310186407576,39,16522,16397,1,0.040000003,0.141421556,27.699131012,2.695613861,-0.316666663,1.000000000,0.000000000,0.000000000,8.000000000,1.000000000,8,0,0,0,27.649999619,2.650000095,27.750000000,2.750000000,Columns,1,1
3,1784164312999738429,1784164310186407576,40,16523,16416,6,0.240000010,0.989948571,28.228103638,6.560936928,-0.580523729,1.000000000,0.000000000,0.000000000,94.000000000,0.382978737,36,31,27,0,27.850000381,6.250000000,28.549999237,6.949999809,Columns,1,1
3,1784164312999738429,1784164310186407576,41,16524,16398,2,0.080000006,0.316228062,28.099573135,3.009825706,-0.156837642,-1.000000000,0.000000000,0.000000000,21.000000000,0.571428597,9,0,12,0,28.049999237,2.849999905,28.149999619,3.150000095,Columns,1,1
3,1784164312999738429,1784164310186407576,42,16524,16420,1,0.040000003,0.141421556,28.100011826,7.302085400,-0.654166579,-1.000000000,0.000000000,0.000000000,13.000000000,1.000000000,0,0,13,0,28.049999237,7.250000000,28.149999619,7.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,43,16525,16359,3,0.120000005,0.424263328,28.359657288,-4.823789597,-0.731378973,1.000000000,0.000000000,0.000000000,33.000000000,0.666666687,22,0,11,0,28.250000000,-4.949999809,28.549999237,-4.650000095,Columns,1,1
3,1784164312999738429,1784164310186407576,44,16525,16403,15,0.600000024,1.655295134,28.613634109,3.935543776,-0.443790913,-1.000000000,0.000000000,0.000000000,193.000000000,0.430051804,76,0,83,34,28.250000000,3.049999952,28.950000763,4.550000191,Direction,1,1
3,1784164312999738429,1784164310186407576,45,16527,16410,14,0.560000002,2.195450068,29.260299683,4.732559204,-0.758930683,1.000000000,0.000000000,0.000000000,194.000000000,0.623711348,121,0,46,27,28.649999619,3.650000095,29.750000000,5.550000191,Direction,1,1
3,1784164312999738429,1784164310186407576,46,16527,16419,7,0.280000001,1.029562712,29.031215668,7.199636459,-0.646199763,-1.000000000,0.000000000,0.000000000,96.000000000,0.541666687,44,0,52,0,28.649999619,7.050000191,29.549999237,7.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,47,16530,16358,1,0.040000003,0.141421556,29.299993515,-5.107894897,-1.134210944,1.000000000,0.000000000,0.000000000,8.000000000,1.000000000,8,0,0,0,29.250000000,-5.150000095,29.350000381,-5.050000191,Columns,1,1
3,1784164312999738429,1784164310186407576,48,16530,16417,1,0.040000003,0.141421556,29.298477173,6.703028679,-0.713636398,1.000000000,0.000000000,0.000000000,13.000000000,1.000000000,13,0,0,0,29.250000000,6.650000095,29.350000381,6.750000000,Columns,1,1
3,1784164312999738429,1784164310186407576,49,16531,16400,1,0.040000003,0.141420215,29.475002289,3.318749428,-0.600000083,1.000000000,0.000000000,0.000000000,6.000000000,1.000000000,6,0,0,0,29.450000763,3.250000000,29.549999237,3.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,50,16532,16358,2,0.080000006,0.424264669,29.793901443,-5.186586380,-1.259756207,-1.000000000,0.000000000,0.000000000,20.000000000,1.000000000,0,0,20,0,29.649999619,-5.349999905,29.950000763,-5.050000191,Columns,1,1
3,1784164312999738429,1784164310186407576,51,16532,16410,10,0.400000006,1.392839909,30.275636673,5.475415230,-0.960988939,1.000000000,0.000000000,0.000000000,122.000000000,0.901639342,110,0,12,0,29.649999619,5.250000000,30.950000763,5.750000000,Columns,1,1
3,1784164312999738429,1784164310186407576,52,16532,16412,1,0.040000003,0.141421556,29.704933167,5.699294090,-0.858450592,-1.000000000,0.000000000,0.000000000,20.000000000,1.000000000,0,0,20,0,29.649999619,5.650000095,29.750000000,5.750000000,Columns,1,1
3,1784164312999738429,1784164310186407576,53,16532,16423,1,0.040000003,0.141421556,29.705266953,7.894738674,-0.973684132,-1.000000000,0.000000000,0.000000000,9.000000000,1.000000000,0,0,9,0,29.649999619,7.849999905,29.750000000,7.949999809,Columns,1,1
3,1784164312999738429,1784164310186407576,54,16533,16408,1,0.040000003,0.141421556,29.901453018,4.895590305,-0.713235140,-1.000000000,0.000000000,0.000000000,13.000000000,1.000000000,0,0,13,0,29.850000381,4.849999905,29.950000763,4.949999809,Columns,1,1
3,1784164312999738429,1784164310186407576,55,16533,16421,6,0.240000010,1.029563069,30.141950607,7.122956753,-0.749752283,1.000000000,0.000000000,0.000000000,77.000000000,0.714285731,55,0,22,0,29.850000381,6.650000095,30.350000381,7.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,56,16534,16361,2,0.080000006,0.316228986,30.199993134,-4.492187023,-0.951562345,1.000000000,0.000000000,0.000000000,11.000000000,1.000000000,11,0,0,0,30.049999237,-4.550000191,30.350000381,-4.449999809,Columns,1,1
3,1784164312999738429,1784164310186407576,57,16534,16405,5,0.200000003,0.860233128,30.358663559,4.155256748,-0.926691830,1.000000000,0.000000000,0.000000000,52.000000000,1.000000000,52,0,0,0,30.049999237,3.849999905,30.750000000,4.349999905,Columns,1,1
