frame_index,component_index,stable_key_x,stable_key_y,column_x,column_y
3,0,16437,16395,16465,16377
3,0,16437,16395,16465,16378
3,0,16437,16395,16465,16379
3,0,16437,16395,16465,16380
3,0,16437,16395,16465,16383
3,0,16437,16395,16465,16392
3,0,16437,16395,16465,16393
3,0,16437,16395,16465,16394
3,0,16437,16395,16465,16395
3,0,16437,16395,16465,16396
3,0,16437,16395,16465,16397
3,0,16437,16395,16465,16398
3,0,16437,16395,16465,16399
3,0,16437,16395,16465,16400
3,0,16437,16395,16465,16401
3,0,16437,16395,16466,16369
3,0,16437,16395,16466,16370
3,0,16437,16395,16466,16371
3,0,16437,16395,16466,16372
3,0,16437,16395,16466,16373
3,0,16437,16395,16466,16374
3,0,16437,16395,16466,16376
3,0,16437,16395,16466,16377
3,0,16437,16395,16466,16378
3,0,16437,16395,16466,16379
3,0,16437,16395,16466,16380
3,0,16437,16395,16466,16381
3,0,16437,16395,16466,16382
3,0,16437,16395,16466,16383
3,0,16437,16395,16466,16388
3,0,16437,16395,16466,16389
3,0,16437,16395,16466,16390
3,0,16437,16395,16466,16391
3,0,16437,16395,16466,16392
3,0,16437,16395,16466,16393
3,0,16437,16395,16466,16394
3,0,16437,16395,16466,16395
3,0,16437,16395,16466,16396
3,0,16437,16395,16466,16397
3,0,16437,16395,16466,16398
3,0,16437,16395,16466,16399
3,0,16437,16395,16466,16400
3,0,16437,16395,16466,16401
3,0,16437,16395,16466,16402
3,0,16437,16395,16467,16368
3,0,16437,16395,16467,16369
3,0,16437,16395,16467,16370
3,0,16437,16395,16467,16371
3,0,16437,16395,16467,16372
3,0,16437,16395,16467,16373
3,0,16437,16395,16467,16374
3,0,16437,16395,16467,16375
3,0,16437,16395,16467,16376
3,0,16437,16395,16467,16377
3,0,16437,16395,16467,16378
3,0,16437,16395,16467,16379
3,0,16437,16395,16467,16380
3,0,16437,16395,16467,16381
3,0,16437,16395,16467,16382
3,0,16437,16395,16467,16383
3,0,16437,16395,16467,16384
3,0,16437,16395,16467,16385
3,0,16437,16395,16467,16386
3,0,16437,16395,16467,16387
3,0,16437,16395,16467,16388
3,0,16437,16395,16467,16389
3,0,16437,16395,16467,16390
3,0,16437,16395,16467,16391
3,0,16437,16395,16467,16392
3,0,16437,16395,16467,16393
3,0,16437,16395,16467,16394
3,0,16437,16395,16467,16395
3,0,16437,16395,16467,16396
3,0,16437,16395,16467,16397
3,0,16437,16395,16467,16398
3,0,16437,16395,16467,16399
3,0,16437,16395,16467,16400
3,0,16437,16395,16467,16401
3,0,16437,16395,16468,16369
3,0,16437,16395,16468,16370
3,0,16437,16395,16468,16371
3,0,16437,16395,16468,16372
3,0,16437,16395,16468,16373
3,0,16437,16395,16468,16374
3,0,16437,16395,16468,16375
3,0,16437,16395,16468,16376
3,0,16437,16395,16468,16378
3,0,16437,16395,16468,16380
3,0,16437,16395,16468,16381
3,0,16437,16395,16468,16383
3,0,16437,16395,16468,16384
3,0,16437,16395,16468,16385
3,0,16437,16395,16468,16386
3,0,16437,16395,16468,16387
3,0,16437,16395,16468,16388
3,0,16437,16395,16468,16390
3,0,16437,16395,16468,16391
3,0,16437,16395,16468,16392
3,0,16437,16395,16468,16393
3,0,16437,16395,16468,16394
3,0,16437,16395,16468,16395
3,0,16437,16395,16468,16396
3,0,16437,16395,16468,16397
3,0,16437,16395,16468,16398
3,0,16437,16395,16468,16399
3,0,16437,16395,16468,16400
3,0,16437,16395,16468,16401
3,0,16437,16395,16468,16402
3,0,16437,16395,16469,16369
3,0,16437,16395,16469,16370
3,0,16437,16395,16469,16371
3,0,16437,16395,16469,16372
3,0,16437,16395,16469,16373
3,0,16437,16395,16469,16374
3,0,16437,16395,16469,16377
3,0,16437,16395,16469,16378
3,0,16437,16395,16469,16379
3,0,16437,16395,16469,16381
3,0,16437,16395,16469,16382
3,0,16437,16395,16469,16383
3,0,16437,16395,16469,16384
3,0,16437,16395,16469,16385
3,0,16437,16395,16469,16386
3,0,16437,16395,16469,16387
3,0,16437,16395,16469,16388
3,0,16437,16395,16469,16389
3,0,16437,16395,16469,16390
3,0,16437,16395,16469,16391
3,0,16437,16395,16469,16392
3,0,16437,16395,16469,16394
3,0,16437,16395,16469,16395
3,0,16437,16395,16469,16396
